Time,Pressure
329.38,7.480261155
329.39,6.031913292
329.4,6.061471411
329.41,6.268378249
329.42,6.081176825
329.43,5.421045488
329.44,5.598394205
329.45,6.839835228
329.46,6.534401325
329.47,6.081176825
329.48,6.159998477
329.49,6.17970389
329.5,5.844711868
329.51,6.347199901
329.52,7.027036653
329.53,5.805301043
329.54,5.490014434
329.55,5.657510444
329.56,5.647657738
329.57,6.081176824
329.58,5.736332096
329.59,5.815153749
329.6,5.884122694
329.61,5.283107598
329.62,5.864417281
329.63,5.066348054
329.64,5.33237113
329.65,4.898852044
329.66,5.992502466
329.67,4.918557456
329.68,5.440750901
329.69,5.125464293
329.7,6.504843206
329.71,5.283107597
329.72,5.470309021
329.73,5.007231815
329.74,5.568836086
329.75,5.706773977
329.76,5.253549477
329.77,5.72647939
329.78,5.578688793
329.79,4.87914663
329.8,5.135316999
329.81,5.775742922
329.82,4.898852043
329.83,6.051618705
329.84,4.977673696
329.85,5.618099618
329.86,5.696921271
329.87,5.69692127
329.88,5.647657738
329.89,5.785595629
329.9,5.095906173
329.91,5.608246912
329.92,5.017084521
329.93,6.169851183
329.94,4.780619565
329.95,5.460456314
329.96,5.312665716
329.97,5.460456314
329.98,4.879146631
329.99,5.007231815
330,5.578688792
330.01,5.332371129
330.02,5.519572553
330.03,5.135316999
330.04,5.52942526
330.05,4.977673695
330.06,5.962944346
330.07,5.430898194
330.08,6.120587651
330.09,5.125464293
330.1,5.440750901
330.11,5.627952325
330.12,5.381634662
330.13,5.312665717
330.14,4.967820989
330.15,5.785595629
330.16,5.33237113
330.17,5.568836086
330.18,5.184580532
330.19,5.352076542
330.2,5.194433239
330.21,5.115611586
330.22,5.608246912
330.23,5.539277966
330.24,5.273254891
330.25,5.214138651
330.26,5.736332097
330.27,6.061471411
330.28,5.519572554
330.29,5.549130673
330.3,5.322518423
330.31,6.002355172
330.32,5.677215857
330.33,5.716626683
330.34,5.283107597
330.35,5.95309164
330.36,5.421045488
330.37,5.647657738
330.38,5.618099618
330.39,5.893975401
330.4,5.775742922
330.41,5.440750901
330.42,5.411192782
330.43,4.977673695
330.44,5.943238933
330.45,5.135316999
330.46,5.825006455
330.47,5.519572553
330.48,6.091029531
330.49,4.967820989
330.5,5.558983379
330.51,5.52942526
330.52,6.169851183
330.53,5.342223836
330.54,5.470309021
330.55,5.056495348
330.56,5.549130673
330.57,5.627952325
330.58,5.155022412
330.59,4.888999337
330.6,5.706773977
330.61,5.095906174
330.62,5.223991358
330.63,5.026937228
330.64,6.012207879
330.65,4.957968283
330.66,5.480161727
330.67,5.519572553
330.68,6.169851183
330.69,5.312665716
330.7,5.834859162
330.71,6.524548618
330.72,9.194632108
330.73,7.963043786
330.74,9.125663171
330.75,8.839934672
330.76,9.20448482
330.77,9.411391671
330.78,9.322717316
330.79,11.14546804
330.8,11.15532076
330.81,13.34262169
330.82,13.01748241
330.83,15.71712408
330.84,15.44124833
330.85,17.04723962
330.86,19.31336224
330.87,18.73205263
330.88,19.7567342
330.89,20.03261001
330.9,20.82082664
330.91,22.03270966
330.92,22.93915885
330.93,24.62397195
330.94,25.50086295
330.95,26.62407176
330.96,28.66358235
330.97,30.10207779
330.98,29.43209368
330.99,30.75235669
331,31.91497624
331.01,31.57998414
331.02,32.11203058
331.03,32.17114667
331.04,31.74748018
331.05,31.13661234
331.06,29.68826413
331.07,29.26459745
331.08,27.72757508
331.09,28.26947394
331.1,28.23006302
331.11,27.88521838
331.12,28.53549702
331.13,28.10197781
331.14,28.67343502
331.15,28.42711727
331.16,28.01330352
331.17,27.89507106
331.18,28.26947392
331.19,27.37287749
331.2,28.28917928
331.21,28.29903204
331.22,27.90492367
331.23,28.82122557
331.24,28.15124137
331.25,27.51081545
331.26,28.56505523
331.27,29.07739601
331.28,29.39268268
331.29,29.85576002
331.3,30.73265104
331.31,30.27942651
331.32,31.49130973
331.33,31.43219341
331.34,31.07749596
331.35,32.28937914
331.36,32.13173572
331.37,31.56027875
331.38,34.31903699
331.39,33.40273526
331.4,33.23523922
331.41,34.21065742
331.42,34.92990521
331.43,34.46682781
331.44,33.86581267
331.45,34.98902149
331.46,34.14168844
331.47,36.06296693
331.48,36.38810606
331.49,36.53589694
331.5,37.09750133
331.51,36.29943191
331.52,37.61969493
331.53,36.34869547
331.54,38.54584974
331.55,38.18129948
331.56,38.56555523
331.57,37.99409804
331.58,37.86601284
331.59,39.90552348
331.6,39.23553953
331.61,38.51629165
331.62,38.08277229
331.63,38.9498109
331.64,38.58526066
331.65,38.68378774
331.66,38.51629155
331.67,39.00892713
331.68,38.56555513
331.69,38.05321427
331.7,40.58536023
331.71,39.19612873
331.72,37.95468714
331.73,37.81674927
331.74,39.07789585
331.75,38.23056312
331.76,38.6345241
331.77,36.96941622
331.78,39.2158339
331.79,37.68866406
331.8,38.10247787
331.81,37.84630727
331.82,38.32908998
331.83,37.49160972
331.84,37.67881129
331.85,36.91029989
331.86,37.55072601
331.87,36.13193588
331.88,36.42751718
331.89,36.3585481
331.9,37.09750142
331.91,35.66885843
331.92,36.14178857
331.93,36.00385048
331.94,36.77236194
331.95,35.64915297
331.96,35.84620724
331.97,35.62944747
331.98,36.19105208
331.99,35.08754851
332,35.63930029
332.01,35.57033113
332.02,35.59988954
332.03,34.38800624
332.04,34.89049441
332.05,34.68358741
332.06,34.85108348
332.07,34.13183585
332.08,35.21563374
332.09,35.12695919
332.1,35.29445533
332.11,34.48653336
332.12,35.3240136
332.13,33.66875853
332.14,35.70826908
332.15,34.54564959
332.16,34.75255644
332.17,33.46185155
332.18,35.58018378
332.19,34.65402937
332.2,34.14168843
332.21,33.87566539
332.22,34.33874264
332.23,35.44224612
332.24,34.68358737
332.25,34.82152548
332.26,35.5998892
332.27,35.47180432
332.28,34.58506035
332.29,35.343719
332.3,35.02843218
332.31,35.17622294
332.32,34.2008046
332.33,34.47668053
332.34,34.36830063
332.35,35.13681189
332.36,34.57520765
332.37,35.18607562
332.38,34.07271956
332.39,36.15164092
332.4,36.28957911
332.41,35.15651744
332.42,36.00385046
332.43,35.39298238
332.44,36.5358967
332.45,36.16149391
332.46,35.67871109
332.47,35.79694357
332.48,34.74270373
332.49,35.42254059
332.5,35.1171068
332.51,34.92990524
332.52,34.11213036
332.53,33.8855179
332.54,34.40771162
332.55,33.38302982
332.56,34.04316136
332.57,33.34361906
332.58,34.46682773
332.59,33.20568111
332.6,34.48653324
332.61,33.09730127
332.62,34.54564932
332.63,33.34361907
332.64,33.97419241
332.65,33.50126225
332.66,33.92492876
332.67,32.47658069
332.68,33.1170067
332.69,32.93965781
332.7,33.56037848
332.71,32.95936338
332.72,33.60964216
332.73,33.26479713
332.74,33.19582834
332.75,33.51111482
332.76,31.95438701
332.77,33.98404485
332.78,33.26479724
332.79,32.7031928
332.8,32.58496028
332.81,33.33376618
332.82,32.6342239
332.83,33.038185
332.84,33.36332424
332.85,32.80172001
332.86,33.5012622
332.87,33.19582839
332.88,33.36332431
332.89,34.01360328
332.9,33.18597554
332.91,33.05789047
332.92,34.65402916
332.93,33.66875842
332.94,34.58506032
332.95,34.5062386
332.96,36.08267202
332.97,36.31913727
332.98,37.79704362
332.99,38.08277217
333,39.79714362
333.01,41.18637611
333.02,40.12228329
333.03,40.26022139
333.04,39.37347719
333.05,37.37337704
333.06,33.64905302
333.07,30.03310872
333.08,26.34819577
333.09,25.36292478
333.1,24.38750674
333.11,23.39238331
333.12,21.65830675
333.13,21.96374069
333.14,21.46125264
333.15,20.92920626
333.16,20.20010587
333.17,16.86989086
333.18,15.23434148
333.19,13.38203254
333.2,12.36720372
333.21,11.03708828
333.22,10.48533672
333.23,10.53460023
333.24,10.21931362
333.25,10.84988683
333.26,8.672438668
333.27,8.307888514
333.28,6.494990499
333.29,5.805301042
333.3,4.957968282
333.31,5.992502467
333.32,5.943238934
333.33,13.74658271
333.34,25.40233589
333.35,31.73762753
333.36,36.26002016
333.37,44.01410075
333.38,50.12277984
333.39,51.27554682
333.4,60.60606155
333.41,61.66030123
333.42,60.52723986
333.43,57.53201605
333.44,62.25146375
333.45,63.23673471
333.46,55.40383084
